Time O(n^2),Time O(nlogn),
6.71261,0.723,
6.439,0.688998,
6.308,0.673,
6.26717,0.699,
6.47898,0.781998,
6.607,0.728002,
6.47445,0.711923,
6.38891,0.704499,
6.43797,0.784987,
6.635,0.711001,
6.33803,0.743968,
7.028,0.707001,
6.465,0.721,
6.379,0.713,
6.52599,0.705003,
6.476,0.713001,
6.423,0.691029,
6.401,0.72,
6.34429,0.704002,
6.192,0.685001,
6.208,0.708003,
6.353,0.694997,
6.328,0.695999,
6.47696,0.690009,
6.23998,0.684015,
6.329,0.688001,
6.29197,0.699998,
6.37699,0.708028,
6.318,0.696,
6.37996,0.693001,
6.32698,0.716027,
6.33511,0.725001,
6.26496,0.686002,
6.39896,0.684012,
6.24197,0.685999,
6.175,0.697,
6.25899,0.688996,
6.51267,0.692001,
6.36896,0.708983,
6.45523,0.698994,
