Time O(n^2),Time O(nlogn),
0.042001,0.034,
0.039999,0.033999,
0.039,0.034001,
0.039997,0.034,
0.040001,0.034002,
0.039,0.033003,
0.038999,0.033985,
0.038998,0.033998,
0.040003,0.035,
0.045,0.033998,
0.038998,0.033999,
0.039999,0.032999,
0.038001,0.034002,
0.038998,0.037,
0.039,0.036,
0.041004,0.038995,
0.039998,0.034,
0.039999,0.034001,
0.04,0.034001,
0.039999,0.036001,
0.040028,0.033971,
0.041997,0.036002,
0.039996,0.036,
0.040003,0.032993,
0.039001,0.035999,
0.041,0.035,
0.039003,0.035002,
0.038,0.034,
0.046027,0.033971,
0.038999,0.034,
0.038998,0.035001,
0.037998,0.034,
0.037999,0.033999,
0.041001,0.033999,
0.042,0.035,
0.052001,0.034999,
0.044012,0.033004,
0.040001,0.033002,
0.038003,0.03403,
0.037998,0.034002,
