Time O(n^2),Time O(nlogn)
12.654,0.893998
12.67,0.921992
12.802,0.921029
12.983,0.882987
12.78,0.92
12.373,0.83801
12.516,0.863032
12.313,0.839996
12.386,0.88
12.49,0.879997
12.358,0.867995
12.487,0.87
12.309,0.867
12.331,0.867969
12.355,0.840001
12.337,0.869999
12.51,0.855001
12.42,0.833988
12.301,0.870001
12.375,0.843
12.398,0.841998
12.352,0.846015
12.11,0.845983
12.1978,0.835973
12.3234,0.848003
12.145,0.841893
12.169,0.846999
12.186,0.838003
12.299,0.838248
12.43,0.838003
12.671,0.890017
12.493,0.850001
12.247,0.844
12.367,0.843001
12.287,0.844014
12.189,0.87895
12.2701,0.840062
12.285,0.857922
12.2624,0.840946
12.348,0.847998
12.3944925,0.8596006
